feature,mi_original,mi_null,delta,iteration,protocol,is_informative
$X_1$,0.2917092168563191,0.007702068248479854,0.28400714860783927,0,Bootstrap,True
$Z_{1}$,0.09352090919232703,0.0011556757238380122,0.09236523346848902,0,Bootstrap,False
$Z_{2}$,0.12191207917608926,0.0014777799245537793,0.12043429925153548,0,Bootstrap,False
$Z_{3}$,0.09201555242777948,0.004761765121456207,0.08725378730632327,0,Bootstrap,False
$X_1$,0.29652047677763993,0.0,0.29652047677763993,1,Bootstrap,True
$Z_{1}$,0.09397202972096075,0.0,0.09397202972096075,1,Bootstrap,False
$Z_{2}$,0.1194988135481978,0.0,0.1194988135481978,1,Bootstrap,False
$Z_{3}$,0.09480325346401264,0.0,0.09480325346401264,1,Bootstrap,False
$X_1$,0.29070949388938505,0.004216183861168066,0.286493310028217,2,Bootstrap,True
$Z_{1}$,0.11016799859361148,0.00041742007983103235,0.10975057851378045,2,Bootstrap,False
$Z_{2}$,0.10472173850990263,0.0006226683219039408,0.10409907018799869,2,Bootstrap,False
$Z_{3}$,0.09040922134037643,0.003216523637410873,0.08719269770296556,2,Bootstrap,False
$X_1$,0.2844874127976922,0.0,0.2844874127976922,3,Bootstrap,True
$Z_{1}$,0.09280072432416908,0.0005284145406099228,0.09227230978355916,3,Bootstrap,False
$Z_{2}$,0.12621803446382795,0.0005761509705775048,0.12564188349325045,3,Bootstrap,False
$Z_{3}$,0.09770346623112802,0.0,0.09770346623112802,3,Bootstrap,False
$X_1$,0.29860127925550817,0.00896477581333599,0.2896365034421722,4,Bootstrap,True
$Z_{1}$,0.09930140273321708,0.0,0.09930140273321708,4,Bootstrap,False
$Z_{2}$,0.12417029802689017,0.0,0.12417029802689017,4,Bootstrap,False
$Z_{3}$,0.08953376887151476,0.005914337491329302,0.08361943138018546,4,Bootstrap,False
$X_1$,0.2840479107514431,0.0,0.2840479107514431,5,Bootstrap,True
$Z_{1}$,0.11230057454648668,0.0,0.11230057454648668,5,Bootstrap,False
$Z_{2}$,0.11217223303604795,0.0,0.11217223303604795,5,Bootstrap,False
$Z_{3}$,0.10457108461359432,0.0014341843107219532,0.10313690030287237,5,Bootstrap,False
$X_1$,0.30002753471921717,0.0,0.30002753471921717,6,Bootstrap,True
$Z_{1}$,0.0969623673894171,0.00728277964502988,0.08967958774438722,6,Bootstrap,False
$Z_{2}$,0.11948122048550713,0.0,0.11948122048550713,6,Bootstrap,False
$Z_{3}$,0.0844365594966967,0.0,0.0844365594966967,6,Bootstrap,False
$X_1$,0.30586829621937905,0.0,0.30586829621937905,7,Bootstrap,True
$Z_{1}$,0.09239567821384886,0.010737823660941004,0.08165785455290786,7,Bootstrap,False
$Z_{2}$,0.09205259738888971,0.0,0.09205259738888971,7,Bootstrap,False
$Z_{3}$,0.09639299375972632,0.0012929076102818904,0.09510008614944443,7,Bootstrap,False
$X_1$,0.2920660485444875,0.005579949186032884,0.2864860993584546,8,Bootstrap,True
$Z_{1}$,0.09498488000210559,0.0,0.09498488000210559,8,Bootstrap,False
$Z_{2}$,0.10918899753160982,0.0,0.10918899753160982,8,Bootstrap,False
$Z_{3}$,0.10769356297150878,0.0,0.10769356297150878,8,Bootstrap,False
$X_1$,0.27639305132633774,0.0002610303081542753,0.27613202101818346,9,Bootstrap,True
$Z_{1}$,0.0928739854520999,0.0029947236166729674,0.08987926183542694,9,Bootstrap,False
$Z_{2}$,0.11805862061321681,0.003621409047528612,0.1144372115656882,9,Bootstrap,False
$Z_{3}$,0.10963828692687505,0.0,0.10963828692687505,9,Bootstrap,False
$X_1$,0.297014862153941,0.0,0.297014862153941,10,Bootstrap,True
$Z_{1}$,0.08453902404809455,0.0,0.08453902404809455,10,Bootstrap,False
$Z_{2}$,0.11977650096734793,0.0048096082658926065,0.11496689270145533,10,Bootstrap,False
$Z_{3}$,0.09715928615376468,0.0,0.09715928615376468,10,Bootstrap,False
$X_1$,0.3048901308220824,0.0,0.3048901308220824,11,Bootstrap,True
$Z_{1}$,0.10098167682280002,0.0,0.10098167682280002,11,Bootstrap,False
$Z_{2}$,0.09254767666749997,0.0,0.09254767666749997,11,Bootstrap,False
$Z_{3}$,0.08933330444143772,0.004514513592126956,0.08481879084931077,11,Bootstrap,False
$X_1$,0.2827009318187832,0.006554271589594762,0.27614666022918843,12,Bootstrap,True
$Z_{1}$,0.0941800161215296,0.0,0.0941800161215296,12,Bootstrap,False
$Z_{2}$,0.12438943556591608,0.0,0.12438943556591608,12,Bootstrap,False
$Z_{3}$,0.0831960213414713,0.0,0.0831960213414713,12,Bootstrap,False
$X_1$,0.29745702955381415,0.0026284894920380886,0.29482854006177606,13,Bootstrap,True
$Z_{1}$,0.09642122372237383,0.008979488760728849,0.08744173496164498,13,Bootstrap,False
$Z_{2}$,0.09563957814028567,0.0,0.09563957814028567,13,Bootstrap,False
$Z_{3}$,0.11049219741608018,0.00224638735697269,0.1082458100591075,13,Bootstrap,False
$X_1$,0.2934773023612076,0.0,0.2934773023612076,14,Bootstrap,True
$Z_{1}$,0.09479224059582592,0.0,0.09479224059582592,14,Bootstrap,False
$Z_{2}$,0.09954538538793667,0.018326290120529,0.08121909526740767,14,Bootstrap,False
$Z_{3}$,0.11551890272525212,0.0018984325943187663,0.11362047013093335,14,Bootstrap,False
$X_1$,0.2935872581978931,0.0,0.2935872581978931,15,Bootstrap,True
$Z_{1}$,0.09965861863091874,0.0,0.09965861863091874,15,Bootstrap,False
$Z_{2}$,0.10609162645559822,0.0,0.10609162645559822,15,Bootstrap,False
$Z_{3}$,0.09488806702957753,0.005789275212054079,0.08909879181752345,15,Bootstrap,False
