context_feature,target_feature,context_idx,target_idx,repeat,fold,rmse_full,rmse_probe,delta_rmse
X_causal,X_conf,0,1,0,0,0.44155464767711683,0.4998929753097453,0.05833832763262847
X_causal,X_syn1,0,2,0,0,0.4996171927781715,0.4983548658941118,-0.0012623268840596946
X_causal,X_syn2,0,3,0,0,0.4976849388042402,0.49774261144669163,5.7672642451434e-05
X_causal,Z_noise1,0,4,0,0,0.4981179751930726,0.501133307732411,0.0030153325393384445
X_causal,Z_noise2,0,5,0,0,0.4955243469719895,0.4991939992706156,0.0036696522986260915
X_causal,Z_noise3,0,6,0,0,0.49562955075374004,0.4977861861809797,0.0021566354272396504
X_conf,X_causal,1,0,0,0,0.44099127927546994,0.4444019038039178,0.00341062452844787
X_conf,X_syn1,1,2,0,0,0.44252962876550406,0.44492544023337266,0.0023958114678686027
X_conf,X_syn2,1,3,0,0,0.44327541765270867,0.44706505938673574,0.0037896417340270716
X_conf,Z_noise1,1,4,0,0,0.44042584702300624,0.4470339979042898,0.006608150881283581
X_conf,Z_noise2,1,5,0,0,0.44111975576417245,0.44569551725641315,0.004575761492240704
X_conf,Z_noise3,1,6,0,0,0.44363101136650224,0.44055873286446007,-0.0030722785020421695
X_syn1,X_causal,2,0,0,0,0.49970740852892903,0.4979081348509889,-0.0017992736779401386
X_syn1,X_conf,2,1,0,0,0.4430453863994639,0.49912514896736515,0.05607976256790126
X_syn1,X_syn2,2,3,0,0,0.4646692907240876,0.499311099376439,0.03464180865235145
X_syn1,Z_noise1,2,4,0,0,0.4974134844872422,0.4988158265904295,0.001402342103187293
X_syn1,Z_noise2,2,5,0,0,0.49766411672773936,0.49693969878891575,-0.0007244179388236072
X_syn1,Z_noise3,2,6,0,0,0.4967962253934235,0.4979268021784439,0.0011305767850203763
X_syn2,X_causal,3,0,0,0,0.4969313771095765,0.4977476780728888,0.0008163009633122553
X_syn2,X_conf,3,1,0,0,0.4440720660754155,0.4969603311526567,0.0528882650772412
X_syn2,X_syn1,3,2,0,0,0.464977039570318,0.4968249604887509,0.031847920918432915
X_syn2,Z_noise1,3,4,0,0,0.49583844768787877,0.49884861370861133,0.003010166020732563
X_syn2,Z_noise2,3,5,0,0,0.4962661014958471,0.4968859829493989,0.000619881453551796
X_syn2,Z_noise3,3,6,0,0,0.49572864168712844,0.49658037559142154,0.000851733904293106
Z_noise1,X_causal,4,0,0,0,0.497801787742435,0.4985318699138778,0.0007300821714428252
Z_noise1,X_conf,4,1,0,0,0.44019628903926317,0.4967127610163516,0.05651647197708842
Z_noise1,X_syn1,4,2,0,0,0.4978040424479826,0.49826033197548014,0.00045628952749754426
Z_noise1,X_syn2,4,3,0,0,0.4961610327925034,0.4981231795236,0.0019621467310966256
Z_noise1,Z_noise2,4,5,0,0,0.4956549548026728,0.4986337046129094,0.002978749810236603
Z_noise1,Z_noise3,4,6,0,0,0.4969354064200231,0.49767429435508675,0.000738887935063659
Z_noise2,X_causal,5,0,0,0,0.4955455063843713,0.4970780051355116,0.0015324987511403099
Z_noise2,X_conf,5,1,0,0,0.4412135738321266,0.4969625822040326,0.055749008371905995
Z_noise2,X_syn1,5,2,0,0,0.4976083010232884,0.49579178161953175,-0.0018165194037566557
Z_noise2,X_syn2,5,3,0,0,0.49584422932452205,0.4972177434229817,0.0013735140984596494
Z_noise2,Z_noise1,5,4,0,0,0.49538619952408486,0.49861092694669734,0.0032247274226124834
Z_noise2,Z_noise3,5,6,0,0,0.49417901908953143,0.49483369725742776,0.0006546781678963276
Z_noise3,X_causal,6,0,0,0,0.4954327495446874,0.49588188091940183,0.00044913137471441766
Z_noise3,X_conf,6,1,0,0,0.44404507823174577,0.49704609931280935,0.05300102108106358
Z_noise3,X_syn1,6,2,0,0,0.4969559925543048,0.49552113964264494,-0.0014348529116598452
Z_noise3,X_syn2,6,3,0,0,0.49625877573657007,0.49663659740161825,0.0003778216650481836
Z_noise3,Z_noise1,6,4,0,0,0.49636050991098063,0.4979144022539963,0.0015538923430156726
Z_noise3,Z_noise2,6,5,0,0,0.49371379628562706,0.4969854532140377,0.003271656928410638
X_causal,X_conf,0,1,0,1,0.4498514362084932,0.49380199156412896,0.043950555355635745
X_causal,X_syn1,0,2,0,1,0.49765803839509554,0.49691132540462885,-0.0007467129904666914
X_causal,X_syn2,0,3,0,1,0.49516714296442543,0.49666845538880294,0.00150131242437751
X_causal,Z_noise1,0,4,0,1,0.49667523997379337,0.49636212419666415,-0.0003131157771292248
X_causal,Z_noise2,0,5,0,1,0.4935325190621302,0.4968424032939946,0.0033098842318644017
X_causal,Z_noise3,0,6,0,1,0.49550573334300263,0.4962833813084717,0.000777647965469086
X_conf,X_causal,1,0,0,1,0.449972241540805,0.45233478604201793,0.0023625445012129265
X_conf,X_syn1,1,2,0,1,0.44930074909483525,0.450921780473061,0.0016210313782257235
X_conf,X_syn2,1,3,0,1,0.44874295189154373,0.44745205090453394,-0.001290900987009791
X_conf,Z_noise1,1,4,0,1,0.4484061502558679,0.44951865863842394,0.0011125083825560544
X_conf,Z_noise2,1,5,0,1,0.4477421408079006,0.44917100904212076,0.0014288682342201708
X_conf,Z_noise3,1,6,0,1,0.44740853038326506,0.45167789558128235,0.004269365198017294
X_syn1,X_causal,2,0,0,1,0.4979406920290269,0.49557759719494293,-0.0023630948340839786
X_syn1,X_conf,2,1,0,1,0.44956446697333624,0.49514364407843264,0.0455791771050964
X_syn1,X_syn2,2,3,0,1,0.4634156748706365,0.4949057625263285,0.031490087655692
X_syn1,Z_noise1,2,4,0,1,0.49834443343559237,0.4969323691363638,-0.001412064299228577
X_syn1,Z_noise2,2,5,0,1,0.495873631370515,0.4972162425893347,0.0013426112188197337
X_syn1,Z_noise3,2,6,0,1,0.49586237390645116,0.4969787763066703,0.001116402400219152
X_syn2,X_causal,3,0,0,1,0.495130575406069,0.4988547985730127,0.0037242231669437076
X_syn2,X_conf,3,1,0,1,0.44813204263907075,0.49706487036677083,0.04893282772770008
X_syn2,X_syn1,3,2,0,1,0.4627195035464731,0.49665640023506674,0.03393689668859362
X_syn2,Z_noise1,3,4,0,1,0.4948339458357895,0.4978844990378261,0.003050553202036621
X_syn2,Z_noise2,3,5,0,1,0.4955312971432423,0.4975328056471959,0.0020015085039535863
X_syn2,Z_noise3,3,6,0,1,0.497866686599632,0.49925815411333346,0.0013914675137014498
Z_noise1,X_causal,4,0,0,1,0.4966982941982744,0.4958595359246669,-0.000838758273607465
Z_noise1,X_conf,4,1,0,1,0.44884329097783854,0.4977645945924862,0.04892130361464764
Z_noise1,X_syn1,4,2,0,1,0.4989272806331602,0.49521003301796296,-0.003717247615197261
Z_noise1,X_syn2,4,3,0,1,0.495472121341825,0.4966074462181441,0.0011353248763191215
Z_noise1,Z_noise2,4,5,0,1,0.4971893796637887,0.49681302532766203,-0.0003763543361266497
Z_noise1,Z_noise3,4,6,0,1,0.4973167141901273,0.49518912894105493,-0.0021275852490723612
Z_noise2,X_causal,5,0,0,1,0.4935382243607889,0.49682509012403514,0.003286865763246216
Z_noise2,X_conf,5,1,0,1,0.44743546043388555,0.49519720082372437,0.047761740389838825
Z_noise2,X_syn1,5,2,0,1,0.4955112212038635,0.4974926050699956,0.0019813838661321137
Z_noise2,X_syn2,5,3,0,1,0.4958066136265629,0.4968623091514792,0.0010556955249163003
Z_noise2,Z_noise1,5,4,0,1,0.4964188218873287,0.49745968035530874,0.0010408584679800215
Z_noise2,Z_noise3,5,6,0,1,0.496143117271783,0.49647555603061444,0.0003324387588314326
Z_noise3,X_causal,6,0,0,1,0.4958693521975107,0.4962751266080827,0.0004057744105719907
Z_noise3,X_conf,6,1,0,1,0.4479840112159288,0.4952556620717098,0.047271650855781
Z_noise3,X_syn1,6,2,0,1,0.4959063007628976,0.4942048859733958,-0.0017014147895018095
Z_noise3,X_syn2,6,3,0,1,0.49838804660918884,0.4979415366712046,-0.00044650993798422967
Z_noise3,Z_noise1,6,4,0,1,0.496743831000861,0.4955395480260026,-0.0012042829748584172
Z_noise3,Z_noise2,6,5,0,1,0.49592373685425556,0.4975031713379664,0.0015794344837108398
X_causal,X_conf,0,1,0,2,0.44305710558158795,0.49943381487324684,0.05637670929165889
X_causal,X_syn1,0,2,0,2,0.499353224423771,0.50190639578551,0.002553171361738993
X_causal,X_syn2,0,3,0,2,0.49751984084113177,0.49644194483812715,-0.0010778960030046192
X_causal,Z_noise1,0,4,0,2,0.49922482016089126,0.4965651986808247,-0.002659621480066543
X_causal,Z_noise2,0,5,0,2,0.4973621453837201,0.4966605907976667,-0.0007015545860533656
X_causal,Z_noise3,0,6,0,2,0.4972050568923477,0.497742287040576,0.0005372301482283182
X_conf,X_causal,1,0,0,2,0.4431903142852016,0.4442005092787607,0.0010101949935590882
X_conf,X_syn1,1,2,0,2,0.44776975179101847,0.4422092747997892,-0.005560476991229246
X_conf,X_syn2,1,3,0,2,0.4439694483043483,0.4462517629738837,0.002282314669535379
X_conf,Z_noise1,1,4,0,2,0.4447402490363825,0.4455948852562972,0.0008546362199147173
X_conf,Z_noise2,1,5,0,2,0.44502209336706366,0.444160408413492,-0.0008616849535716398
X_conf,Z_noise3,1,6,0,2,0.44323530531787286,0.44388379714984866,0.0006484918319757949
X_syn1,X_causal,2,0,0,2,0.4994034528656189,0.5039218780378816,0.004518425172262697
X_syn1,X_conf,2,1,0,2,0.4473140329266505,0.4996460742762241,0.05233204134957359
X_syn1,X_syn2,2,3,0,2,0.4672685430933497,0.5013823596414593,0.03411381654810958
