context_feature,target_feature,context_idx,target_idx,mean,std,median,min,max,n,p_gt_0,p_gt_eps
X_causal,X_conf,0,1,0.05438256273759076,0.00961777841615053,0.05416515704233715,0.02850918788739143,0.0795363978978662,200,1.0,1.0
X_causal,X_syn1,0,2,0.0004208207495344232,0.0034320019551496127,0.0004769640622128979,-0.008451902705001069,0.011725926265518993,200,0.53,0.53
X_causal,X_syn2,0,3,0.00014499840740940571,0.003142643234661857,0.000344767689582276,-0.008484523581624548,0.00917246363253249,200,0.53,0.53
X_causal,Z_noise1,0,4,-0.0008136530735609332,0.003552558038928232,-0.0004942953859464194,-0.016310787069814814,0.007637113517204419,200,0.415,0.415
X_causal,Z_noise2,0,5,-0.0004277552264743606,0.002814107360917757,-5.8184862782362234e-05,-0.0083593451828477,0.006794939026457225,200,0.49,0.49
X_causal,Z_noise3,0,6,-0.0009265165780967294,0.0029931926438163826,-0.0007351927960850546,-0.00888785175078699,0.008602862815213996,200,0.395,0.395
X_conf,X_causal,1,0,0.00012891336736116227,0.004254514899199838,-7.037648943397645e-05,-0.009805305222605143,0.012886834204165476,200,0.48,0.48
X_conf,X_syn1,1,2,-0.0007408838272109594,0.004207045765094431,-0.0010274875357524915,-0.011816160747859294,0.009339376617563122,200,0.405,0.405
X_conf,X_syn2,1,3,0.0005984158551441426,0.0037898518273950356,0.0009633957630686141,-0.010922809185055449,0.012777817749503317,200,0.605,0.605
X_conf,Z_noise1,1,4,-0.0011449850126003499,0.004224838356693765,-0.0014410163252840946,-0.012991370974721916,0.010080923703603362,200,0.385,0.385
X_conf,Z_noise2,1,5,0.0005878323767119786,0.003654601006633395,0.0007403293524219368,-0.00858031173131163,0.009516757055115954,200,0.585,0.585
X_conf,Z_noise3,1,6,-0.0009284855104135875,0.0036871675484342887,-0.0006763985794255578,-0.01067273642700145,0.008597343014321357,200,0.425,0.425
X_syn1,X_causal,2,0,-0.0003178524198268701,0.0032959513760432795,-0.00034519925480586133,-0.009545168906498147,0.009296268023583965,200,0.475,0.475
X_syn1,X_conf,2,1,0.05292380128456322,0.010109054811825962,0.05282618001234474,0.02170985371953449,0.07976197276918967,200,1.0,1.0
X_syn1,X_syn2,2,3,0.023409816854359455,0.006798091966444954,0.023553062316524043,0.007024895680784404,0.0473276371681664,200,1.0,1.0
X_syn1,Z_noise1,2,4,6.332130465486918e-05,0.003965033669731339,0.00021110636515994652,-0.01501487310803451,0.011209270860118858,200,0.525,0.525
X_syn1,Z_noise2,2,5,0.00018600978889266983,0.0032589694642387677,0.00025545779753002873,-0.0074673646070664845,0.009778411169298395,200,0.52,0.52
X_syn1,Z_noise3,2,6,-0.0012308324380454578,0.0030467203978342904,-0.001055219781859823,-0.008849596971312879,0.006581553136916718,200,0.365,0.365
X_syn2,X_causal,3,0,0.0001947512013278782,0.003006849832096569,0.00011393433511563966,-0.008266394374291164,0.007739993560116731,200,0.525,0.525
X_syn2,X_conf,3,1,0.055064889343683136,0.009719203551024444,0.05504056540268404,0.03230057953689014,0.08178132551744188,200,1.0,1.0
X_syn2,X_syn1,3,2,0.023659439232606924,0.0069185287193133434,0.023896830861978996,0.008056987645468638,0.0460401819644371,200,1.0,1.0
X_syn2,Z_noise1,3,4,0.00010463332095550059,0.003774746128380662,0.0001666888363385799,-0.012706309313646469,0.009826892568649992,200,0.515,0.515
X_syn2,Z_noise2,3,5,-0.0012519848109469839,0.0029484696987207995,-0.0014457938538263992,-0.011419335519768425,0.005822263215669421,200,0.32,0.32
X_syn2,Z_noise3,3,6,-0.0007114474588544567,0.0034095185441492255,-0.0005433132732696744,-0.014205249473410064,0.008064427067482338,200,0.42,0.42
Z_noise1,X_causal,4,0,-0.00047983978542666535,0.0030579244604951403,-0.0006027642330690419,-0.007181762596354058,0.006515340084384258,200,0.435,0.435
Z_noise1,X_conf,4,1,0.05350738286345697,0.009713391272988826,0.053972866961788823,0.02812533848038068,0.07498488501409561,200,1.0,1.0
Z_noise1,X_syn1,4,2,0.0006883184251108967,0.003421000176291298,0.0009322754987514115,-0.008962710182841283,0.008368506482458737,200,0.6,0.6
Z_noise1,X_syn2,4,3,0.0004527445871400162,0.003339836734640219,0.0006778226953364219,-0.0066681437401655,0.008930393302870487,200,0.585,0.585
Z_noise1,Z_noise2,4,5,0.001318141818242335,0.0035038516677317277,0.0015646959071023425,-0.00757496099293431,0.009809551839480013,200,0.67,0.67
Z_noise1,Z_noise3,4,6,-0.0010296563074594677,0.0033261149879694717,-0.0008347448798199375,-0.011471453435867085,0.00796819293972223,200,0.395,0.395
Z_noise2,X_causal,5,0,-0.0004294422415249896,0.002977976135833839,-0.0004045042237427465,-0.008669042520049297,0.00762634091350306,200,0.415,0.415
Z_noise2,X_conf,5,1,0.0551857842755198,0.009394591217113224,0.05531035492557096,0.03065788513103912,0.07900440646490403,200,1.0,1.0
Z_noise2,X_syn1,5,2,0.0006909023282131499,0.0029297132833453763,0.000808440664332527,-0.007575546340288453,0.008396504859746523,200,0.595,0.595
Z_noise2,X_syn2,5,3,-0.0007284644039520085,0.0030084403961193585,-0.0006051752878003247,-0.010742793693087449,0.007013140187836109,200,0.415,0.415
Z_noise2,Z_noise1,5,4,0.0014054484719491886,0.0032048056615294625,0.001625123138256107,-0.008570765007430536,0.011595929438557195,200,0.665,0.665
Z_noise2,Z_noise3,5,6,-0.0002925852236178134,0.0030995490929921717,-0.0003690208762419933,-0.008301648030077102,0.007769877640545431,200,0.46,0.46
Z_noise3,X_causal,6,0,-0.00038641007187216025,0.0028632641151569577,-0.0003653842467954971,-0.00936015757160813,0.007474658441286364,200,0.425,0.425
Z_noise3,X_conf,6,1,0.05420517299108044,0.009547517318591657,0.05373318728475718,0.026467264084039543,0.0785978976301881,200,1.0,1.0
Z_noise3,X_syn1,6,2,0.0003184892178414278,0.003039078620917055,0.00035545590584037945,-0.007107937664801556,0.010484806634634858,200,0.54,0.54
Z_noise3,X_syn2,6,3,-3.697402127268601e-05,0.003154497579994937,6.74513406975219e-05,-0.008738620731745361,0.008656980352420518,200,0.505,0.505
Z_noise3,Z_noise1,6,4,-0.0007529474657542664,0.003666855031806751,-0.0006277466151350108,-0.010422530395890917,0.00811319850540082,200,0.445,0.445
Z_noise3,Z_noise2,6,5,7.022686802921036e-05,0.0031034550511943376,-0.00016463636356256472,-0.008800906903874584,0.006559195173688914,200,0.485,0.485
