index,protocol,n,mean,std,min,max,mean_pm_sd
0,Bootstrap,32,0.06847281744378918,0.10644761895533496,-0.2495866466624525,0.6211999819694316,0.068 $\pm$ 0.106
1,Bootstrap,64,0.08637163758376455,0.08018046984105866,-0.1462872170876821,0.4504384271222683,0.086 $\pm$ 0.080
2,Bootstrap,128,0.075812197613337,0.057157703887682286,-0.0973237662110948,0.3169566586344374,0.076 $\pm$ 0.057
3,Bootstrap,256,0.09109281525373351,0.041661388683014146,-0.0365051371936249,0.2419893476930052,0.091 $\pm$ 0.042
4,Bootstrap,512,0.09602179898484277,0.030368134387577173,-0.0045522597872702,0.2091346937138369,0.096 $\pm$ 0.030
5,Bootstrap,1024,0.09753128954429034,0.021611744554703483,0.024793082189737,0.1741535030056873,0.098 $\pm$ 0.022
6,Bootstrap,2048,0.09839136177239033,0.015073806205270164,0.0386113476558116,0.1453681043389818,0.098 $\pm$ 0.015
7,Bootstrap,4096,0.0958426578649999,0.010118567327514014,0.0609813593178767,0.1349761541893261,0.096 $\pm$ 0.010
8,Bootstrap,8192,0.09757984505580143,0.0074931441497230866,0.0676275386123808,0.1226682008378095,0.098 $\pm$ 0.007
9,DGP Realizations,32,0.0036767578268154365,0.07191506548808307,-0.3464970390376733,0.2496645940096529,0.004 $\pm$ 0.072
10,DGP Realizations,64,-0.002821100664334004,0.040973106085838845,-0.168872065296096,0.1415638194207931,-0.003 $\pm$ 0.041
11,DGP Realizations,128,0.0006301832585947926,0.03292646731660873,-0.131860189732984,0.1155415600149041,0.001 $\pm$ 0.033
12,DGP Realizations,256,0.0020029984962200245,0.019217896028672167,-0.0629522826524819,0.0833012336807081,0.002 $\pm$ 0.019
13,DGP Realizations,512,0.002172781587505719,0.015240865128622622,-0.0411398129713678,0.0596713194919291,0.002 $\pm$ 0.015
14,DGP Realizations,1024,0.000985437993140581,0.010618530566852065,-0.0326648578123296,0.0351162010160788,0.001 $\pm$ 0.011
15,DGP Realizations,2048,0.0004979238790397112,0.006909318885917926,-0.0202854104405147,0.0258780759984857,0.000 $\pm$ 0.007
16,DGP Realizations,4096,-0.00046013006986874767,0.005055842365428818,-0.0233712107444734,0.015181371069981,-0.000 $\pm$ 0.005
17,DGP Realizations,8192,-0.0002712307318221303,0.0038616407480390963,-0.015964139629232,0.0100169468790665,-0.000 $\pm$ 0.004
18,K-Fold CV,32,0.0012361111111111106,0.07685876542701993,-0.8333333333333331,0.8333333333333331,0.001 $\pm$ 0.077
19,K-Fold CV,64,-0.0006798941798941808,0.15761083596811987,-0.7833333333333332,0.7277777777777779,-0.001 $\pm$ 0.158
20,K-Fold CV,128,-0.000676744166327501,0.08002208011677314,-0.5223575036075039,0.5406114718614727,-0.001 $\pm$ 0.080
21,K-Fold CV,256,0.001351326771641582,0.0652420387765852,-0.3286097832336225,0.462684562479891,0.001 $\pm$ 0.065
22,K-Fold CV,512,-0.000516832940397836,0.048837824546180464,-0.2514041575507872,0.2441523243761887,-0.001 $\pm$ 0.049
23,K-Fold CV,1024,-5.2631102590891794e-05,0.03422233893428047,-0.1553854180284486,0.1687829731087204,-0.000 $\pm$ 0.034
24,K-Fold CV,2048,-0.0011030238888848545,0.023521203044587845,-0.1227032363756901,0.1076709400865922,-0.001 $\pm$ 0.024
25,K-Fold CV,4096,-7.143882851991982e-05,0.01684162142813845,-0.0990485256301449,0.0832348202096775,-0.000 $\pm$ 0.017
26,K-Fold CV,8192,8.01142315529956e-05,0.011744650738141496,-0.0450714035523396,0.0617206253772337,0.000 $\pm$ 0.012
