combo,combo_size,logloss_original,logloss_null,delta,realization,has_informative,combo_type
"('$X_1$', '$X_2$')",2,0.05104220326922916,0.7031290013438013,0.6520867980745721,0,True,"$S \supseteq \{1,2\}$"
"('$X_1$', '$Z_{1}$')",2,0.7138489035238009,0.7021167542386818,-0.01173214928511912,0,True,"$|S \cap \{1,2\}| = 1$"
"('$X_1$', '$Z_{2}$')",2,0.7062069415068734,0.7147839083649276,0.008576966858054202,0,True,"$|S \cap \{1,2\}| = 1$"
"('$X_1$', '$Z_{3}$')",2,0.7104012149065512,0.7096381996743331,-0.0007630152322181116,0,True,"$|S \cap \{1,2\}| = 1$"
"('$X_1$', '$Z_{4}$')",2,0.7120317742086122,0.7057144453637911,-0.006317328844821057,0,True,"$|S \cap \{1,2\}| = 1$"
"('$X_1$', '$Z_{5}$')",2,0.7082091769371057,0.7071809537952427,-0.0010282231418630161,0,True,"$|S \cap \{1,2\}| = 1$"
"('$X_1$', '$Z_{6}$')",2,0.7108877099692609,0.6993216798447338,-0.01156603012452706,0,True,"$|S \cap \{1,2\}| = 1$"
"('$X_2$', '$Z_{1}$')",2,0.7113123263389642,0.7047224183543788,-0.006589907984585475,0,True,"$|S \cap \{1,2\}| = 1$"
"('$X_2$', '$Z_{2}$')",2,0.7060920803985798,0.7084915954576814,0.00239951505910152,0,True,"$|S \cap \{1,2\}| = 1$"
"('$X_2$', '$Z_{3}$')",2,0.7096467841094081,0.7122781938411286,0.002631409731720491,0,True,"$|S \cap \{1,2\}| = 1$"
"('$X_2$', '$Z_{4}$')",2,0.712768444695836,0.7088631231083207,-0.0039053215875153313,0,True,"$|S \cap \{1,2\}| = 1$"
"('$X_2$', '$Z_{5}$')",2,0.7081725082297742,0.7124754967848994,0.004302988555125231,0,True,"$|S \cap \{1,2\}| = 1$"
"('$X_2$', '$Z_{6}$')",2,0.7056643581060448,0.6914157585209733,-0.01424859958507152,0,True,"$|S \cap \{1,2\}| = 1$"
"('$Z_{1}$', '$Z_{2}$')",2,0.7062461220629546,0.7060950758237873,-0.0001510462391672851,0,False,"$S \cap \{1,2\} = \emptyset$"
"('$Z_{1}$', '$Z_{3}$')",2,0.707268032949939,0.711414240816947,0.004146207867008034,0,False,"$S \cap \{1,2\} = \emptyset$"
"('$Z_{1}$', '$Z_{4}$')",2,0.7070299583002562,0.7039629417417956,-0.0030670165584605336,0,False,"$S \cap \{1,2\} = \emptyset$"
"('$Z_{1}$', '$Z_{5}$')",2,0.7087447765583802,0.7077152988712356,-0.0010294776871445643,0,False,"$S \cap \{1,2\} = \emptyset$"
"('$Z_{1}$', '$Z_{6}$')",2,0.7104319795121248,0.7086552331381386,-0.001776746373986171,0,False,"$S \cap \{1,2\} = \emptyset$"
"('$Z_{2}$', '$Z_{3}$')",2,0.6989876037815427,0.7018736167651537,0.0028860129836110193,0,False,"$S \cap \{1,2\} = \emptyset$"
"('$Z_{2}$', '$Z_{4}$')",2,0.6986644494259666,0.7025271289199804,0.0038626794940137543,0,False,"$S \cap \{1,2\} = \emptyset$"
"('$Z_{2}$', '$Z_{5}$')",2,0.6976148468585174,0.7087266270796697,0.011111780221152334,0,False,"$S \cap \{1,2\} = \emptyset$"
"('$Z_{2}$', '$Z_{6}$')",2,0.7011053269381645,0.7077590280597776,0.00665370112161312,0,False,"$S \cap \{1,2\} = \emptyset$"
"('$Z_{3}$', '$Z_{4}$')",2,0.7044224526686579,0.7047304514560199,0.00030799878736198494,0,False,"$S \cap \{1,2\} = \emptyset$"
